country,quarter,PRITHVI_MOISTURE_ANOM,PRITHVI_MOISTURE_STD
COL,1995-07-01,0.0014844397,0.6965577
COL,1995-10-01,-9.861185e-05,-0.046272572
COL,1996-01-01,-0.0022334533,-1.0480245
COL,1996-04-01,0.0029558511,1.3870021
COL,1996-07-01,0.00080339116,0.37698284
COL,1996-10-01,-0.0007875518,-0.3695504
COL,1997-01-01,-0.002958902,-1.3884336
COL,1997-04-01,0.001590942,0.7465328
COL,1997-07-01,-0.00052314316,-0.24547942
COL,1997-10-01,-0.001638645,-0.7689169
COL,1998-01-01,-0.0025400333,-1.1918839
COL,1998-04-01,0.0037329856,1.7516643
COL,1998-07-01,0.0016859466,0.7911127
COL,1998-10-01,0.0003033178,0.14232868
COL,1999-01-01,-0.0011184359,-0.52481425
COL,1999-04-01,0.0026173443,1.2281612
COL,1999-07-01,0.0010226875,0.47988537
COL,1999-10-01,-0.000609284,-0.2859001
COL,2000-01-01,-0.0032823214,-1.5401947
COL,2000-04-01,0.0035276238,1.6553004
COL,2000-07-01,0.001777173,0.83391976
COL,2000-10-01,-0.0003595613,-0.16872035
COL,2001-01-01,-0.003357745,-1.5755866
COL,2001-04-01,0.0013478389,0.6324592
COL,2001-07-01,0.00054558896,0.25601187
COL,2001-10-01,-0.0001468081,-0.06888816
COL,2002-01-01,-0.0034516149,-1.619634
COL,2002-04-01,0.0019805124,0.92933464
COL,2002-07-01,0.00052947766,0.24845183
COL,2002-10-01,-0.0006555328,-0.30760187
COL,2003-01-01,-0.004149794,-1.9472473
COL,2003-04-01,0.002826405,1.3262608
COL,2003-07-01,0.00066213496,0.31069988
COL,2003-10-01,0.00033620713,0.15776166
COL,2004-01-01,-0.004151111,-1.9478651
COL,2004-04-01,0.0023195927,1.0884445
COL,2004-07-01,0.00044122213,0.20703885
COL,2004-10-01,-0.0005182472,-0.24318205
COL,2005-01-01,-0.0031747802,-1.4897323
COL,2005-04-01,0.0020415413,0.95797175
COL,2005-07-01,-0.00029153036,-0.13679756
COL,2005-10-01,-0.00010817343,-0.050759245
COL,2006-01-01,-0.0021529368,-1.0102429
COL,2006-04-01,0.001383651,0.6492637
COL,2006-07-01,-0.00013053666,-0.061252955
COL,2006-10-01,0.00030390886,0.14260603
COL,2007-01-01,-0.0040358114,-1.8937621
COL,2007-04-01,0.0034482342,1.6180476
COL,2007-07-01,0.00059700635,0.28013894
COL,2007-10-01,-7.31259e-05,-0.03431356
COL,2008-01-01,-0.00333069,-1.5628912
COL,2008-04-01,0.0022388205,1.050543
COL,2008-07-01,0.001083904,0.50861055
COL,2008-10-01,4.8014335e-05,0.022530222
COL,2009-01-01,-0.0014114054,-0.6622871
COL,2009-04-01,0.001356807,0.6366674
COL,2009-07-01,0.00039882088,0.1871425
COL,2009-10-01,-0.00130192,-0.61091226
COL,2010-01-01,-0.0031748444,-1.4897623
COL,2010-04-01,0.0033267436,1.5610394
COL,2010-07-01,0.0012293439,0.57685673
COL,2010-10-01,0.00120821,0.56693983
COL,2011-01-01,-0.0023828533,-1.1181289
COL,2011-04-01,0.0031997345,1.5014417
COL,2011-07-01,0.00019026424,0.089279495
COL,2011-10-01,0.0009736481,0.45687413
COL,2012-01-01,-0.0018033929,-0.8462232
COL,2012-04-01,0.0020411357,0.95778143
COL,2012-07-01,-0.00018284842,-0.0857997
COL,2012-10-01,-0.001042727,-0.4892887
COL,2013-01-01,-0.002511998,-1.1787286
COL,2013-04-01,0.0022013534,1.032962
COL,2013-07-01,0.00065992214,0.30966154
COL,2013-10-01,-0.0010305109,-0.4835564
COL,2014-01-01,-0.003337796,-1.5662258
COL,2014-04-01,0.0025372317,1.1905693
COL,2014-07-01,0.00018960268,0.08896907
COL,2014-10-01,-0.00049270067,-0.2311946
COL,2015-01-01,-0.0026598156,-1.2480905
COL,2015-04-01,0.0018490577,0.8676509
COL,2015-07-01,-0.00022670254,-0.10637778
COL,2015-10-01,-0.0011675948,-0.5478816
COL,2016-01-01,-0.0041887495,-1.9655267
COL,2016-04-01,0.00272144,1.2770071
COL,2016-07-01,0.00034530865,0.16203246
COL,2016-10-01,0.00052431476,0.24602918
COL,2017-01-01,-0.0024720496,-1.1599833
COL,2017-04-01,0.0013825232,0.6487345
COL,2017-07-01,-0.00038187485,-0.17919075
COL,2017-10-01,-0.0014927881,-0.7004751
COL,2018-01-01,-0.0033985442,-1.5947311
COL,2018-04-01,0.0027201392,1.2763968
COL,2018-07-01,-0.0008144351,-0.3821651
COL,2018-10-01,-0.0013150437,-0.61707044
COL,2019-01-01,-0.003417968,-1.6038456
COL,2019-04-01,0.00240109,1.1266862
COL,2019-07-01,-0.0017282596,-0.8109676
COL,2019-10-01,-0.00075979746,-0.35652697
COL,2020-01-01,-0.0049532615,-2.324266
COL,2020-04-01,0.0011578295,0.5432993
COL,2020-07-01,0.0004419048,0.20735918
COL,2020-10-01,-0.00051586766,-0.24206547
COL,2021-01-01,-0.0029255624,-1.3727894
COL,2021-04-01,0.0028178098,1.3222276
COL,2021-07-01,0.0006254728,0.29349655
COL,2021-10-01,-0.0011290383,-0.5297893
COL,2022-01-01,-0.0031253656,-1.466545
COL,2022-04-01,0.0026536323,1.2451891
COL,2022-07-01,0.0005179299,0.24303316
COL,2022-10-01,-0.0012122974,-0.5688578
COL,2023-01-01,-0.0032202515,-1.5110692
COL,2023-04-01,0.000954876,0.44806552
COL,2023-07-01,-0.001132117,-0.531234
COL,2023-10-01,-0.0014915802,-0.6999083
COL,2024-01-01,-0.0045695975,-2.1442356
COL,2024-04-01,0.002272417,1.0663078
COL,2024-07-01,-0.0016452232,-0.7720037
COL,2024-10-01,-0.0010942767,-0.5134778
EGY,1981-01-01,-4.3911743e-05,-0.93177193
EGY,1981-04-01,-4.0773895e-05,-0.8651893
EGY,1981-07-01,-1.4652284e-05,-0.3109097
EGY,1981-10-01,-8.1022896e-05,-1.7192408
EGY,1982-01-01,7.915265e-05,1.6795555
EGY,1982-04-01,-2.1933587e-05,-0.4654131
EGY,1982-07-01,-2.1063266e-05,-0.44694558
EGY,1982-10-01,-5.327574e-05,-1.1304684
EGY,1983-01-01,2.7441061e-05,0.5822773
EGY,1983-04-01,-4.8654376e-05,-1.0324068
EGY,1983-07-01,-3.0473815e-05,-0.64662987
EGY,1983-10-01,-7.991695e-05,-1.6957735
