country,quarter,PRITHVI_HEAT_ANOM,PRITHVI_HEAT_STD
EGY,1988-10-01,-4.960833,-0.85443157
EGY,1989-01-01,-9.061889,-1.5607789
EGY,1989-04-01,4.7052617,0.8104131
EGY,1989-07-01,6.798633,1.1709659
EGY,1989-10-01,-4.1629615,-0.7170097
EGY,1990-01-01,-8.09154,-1.3936505
EGY,1990-04-01,3.6231396,0.6240333
EGY,1990-07-01,5.678299,0.97800463
EGY,1990-10-01,-2.0241196,-0.34862524
EGY,1991-01-01,-6.899325,-1.1883087
EGY,1991-04-01,4.6257324,0.7967153
EGY,1991-07-01,5.884358,1.0134953
EGY,1991-10-01,-4.3540034,-0.74991393
EGY,1992-01-01,-9.123009,-1.571306
EGY,1992-04-01,3.4342854,0.5915059
EGY,1992-07-01,6.0254498,1.0377964
EGY,1992-10-01,-3.8602307,-0.6648688
EGY,1993-01-01,-8.549294,-1.472492
EGY,1993-04-01,3.7089546,0.6388136
EGY,1993-07-01,6.773957,1.1667159
EGY,1993-10-01,-1.8375155,-0.3164854
EGY,1994-01-01,-7.276188,-1.2532178
EGY,1994-04-01,3.825531,0.6588922
EGY,1994-07-01,7.0773168,1.2189652
EGY,1994-10-01,-3.7366078,-0.6435765
EGY,1995-01-01,-7.293574,-1.2562124
EGY,1995-04-01,3.8945382,0.67077774
EGY,1995-07-01,7.605827,1.3099934
EGY,1995-10-01,-4.280632,-0.7372768
