country,quarter,PRITHVI_HEAT_EXTENT
COL,2020-04-01,0.19528619528619529
COL,2020-07-01,0.04419191919191919
COL,2020-10-01,0.08743686868686869
COL,2021-01-01,0.1537247474747475
COL,2021-04-01,0.015572390572390573
COL,2021-07-01,0.012415824915824915
COL,2021-10-01,0.16898148148148148
COL,2022-01-01,0.16687710437710437
COL,2022-04-01,0.015782828282828284
COL,2022-07-01,0.028514309764309766
COL,2022-10-01,0.05355639730639731
COL,2023-01-01,0.14067760942760943
COL,2023-04-01,0.16950757575757577
COL,2023-07-01,0.3216540404040404
COL,2023-10-01,0.38983585858585856
COL,2024-01-01,0.45822811447811446
COL,2024-04-01,0.3114478114478115
COL,2024-07-01,0.2521043771043771
COL,2024-10-01,0.29145622895622897
EGY,1981-01-01,0.0
EGY,1981-04-01,0.0
EGY,1981-07-01,0.035818713450292396
EGY,1981-10-01,0.0
EGY,1982-01-01,0.0
EGY,1982-04-01,0.0
EGY,1982-07-01,0.017726608187134504
EGY,1982-10-01,0.0
EGY,1983-01-01,0.0
EGY,1983-04-01,0.0
EGY,1983-07-01,0.07364766081871345
EGY,1983-10-01,0.0
EGY,1984-01-01,0.0
EGY,1984-04-01,0.019554093567251463
EGY,1984-07-01,0.0
EGY,1984-10-01,0.0
EGY,1985-01-01,0.0
EGY,1985-04-01,0.03764619883040936
EGY,1985-07-01,0.05043859649122807
EGY,1985-10-01,0.0
EGY,1986-01-01,0.0
EGY,1986-04-01,0.023940058479532164
EGY,1986-07-01,0.17415935672514618
EGY,1986-10-01,0.0
EGY,1987-01-01,0.0
EGY,1987-04-01,0.0
EGY,1987-07-01,0.37043128654970764
EGY,1987-10-01,0.0
EGY,1988-01-01,0.0
EGY,1988-04-01,0.2242324561403509
EGY,1988-07-01,0.49671052631578944
EGY,1988-10-01,0.0
EGY,1989-01-01,0.0
EGY,1989-04-01,0.05391081871345029
EGY,1989-07-01,0.23245614035087722
EGY,1989-10-01,0.0
EGY,1990-01-01,0.0
EGY,1990-04-01,0.0
EGY,1990-07-01,0.05756578947368421
EGY,1990-10-01,0.0
EGY,1991-01-01,0.0
EGY,1991-04-01,0.008771929824561403
EGY,1991-07-01,0.01882309941520468
EGY,1991-10-01,0.0
EGY,1992-01-01,0.0
EGY,1992-04-01,0.17945906432748537
EGY,1992-07-01,0.11056286549707602
EGY,1992-10-01,0.0
EGY,1993-01-01,0.0
EGY,1993-04-01,0.0
EGY,1993-07-01,0.23958333333333334
EGY,1993-10-01,0.0
EGY,1994-01-01,0.0
EGY,1994-04-01,0.0
EGY,1994-07-01,0.3848684210526316
EGY,1994-10-01,0.0
EGY,1995-01-01,0.0
EGY,1995-04-01,0.2463450292397661
EGY,1995-07-01,0.5104166666666666
EGY,1995-10-01,0.0
EGY,1996-01-01,0.0
EGY,1996-04-01,0.044042397660818716
EGY,1996-07-01,0.34137426900584794
EGY,1996-10-01,0.0
EGY,1997-01-01,0.0
EGY,1997-04-01,0.11805555555555557
EGY,1997-07-01,0.427266081871345
EGY,1997-10-01,0.0
EGY,1998-01-01,0.0
EGY,1998-04-01,0.0
EGY,1998-07-01,0.5343567251461988
EGY,1998-10-01,0.0
EGY,1999-01-01,0.0
EGY,1999-04-01,0.0029239766081871343
EGY,1999-07-01,0.5098684210526315
EGY,1999-10-01,0.0
EGY,2000-01-01,0.0
EGY,2000-04-01,0.0009137426900584795
EGY,2000-07-01,0.31414473684210525
EGY,2000-10-01,0.0
EGY,2001-01-01,0.0
EGY,2001-04-01,0.0
EGY,2001-07-01,0.5248538011695907
EGY,2001-10-01,0.0
EGY,2002-01-01,0.0
EGY,2002-04-01,0.0
EGY,2002-07-01,0.5873538011695906
EGY,2002-10-01,0.0
EGY,2003-01-01,0.0
EGY,2003-04-01,0.17013888888888887
EGY,2003-07-01,0.487390350877193
EGY,2003-10-01,0.0
EGY,2004-01-01,0.0
EGY,2004-04-01,0.012609649122807017
EGY,2004-07-01,0.31012426900584794
EGY,2004-10-01,0.0
EGY,2005-01-01,0.0
EGY,2005-04-01,0.007858187134502924
EGY,2005-07-01,0.5148026315789473
EGY,2005-10-01,0.0
EGY,2006-01-01,0.0
EGY,2006-04-01,0.1070906432748538
EGY,2006-07-01,0.40314327485380114
EGY,2006-10-01,0.0
EGY,2007-01-01,0.0
EGY,2007-04-01,0.1610014619883041
EGY,2007-07-01,0.5118786549707602
EGY,2007-10-01,0.0
EGY,2008-01-01,0.0
EGY,2008-04-01,0.23501461988304095
EGY,2008-07-01,0.5460526315789473
EGY,2008-10-01,0.0
EGY,2009-01-01,0.0
EGY,2009-04-01,0.17690058479532164
EGY,2009-07-01,0.3932748538011696
EGY,2009-10-01,0.0
EGY,2010-01-01,0.0
EGY,2010-04-01,0.23629385964912283
EGY,2010-07-01,0.5433114035087719
EGY,2010-10-01,0.0
EGY,2011-01-01,0.0
EGY,2011-04-01,0.02558479532163743
EGY,2011-07-01,0.5074926900584795
EGY,2011-10-01,0.0
EGY,2012-01-01,0.0
EGY,2012-04-01,0.22587719298245615
EGY,2012-07-01,0.5157163742690059
EGY,2012-10-01,0.0
EGY,2013-01-01,0.0
EGY,2013-04-01,0.11312134502923976
EGY,2013-07-01,0.28709795321637427
EGY,2013-10-01,0.0
EGY,2014-01-01,0.0
EGY,2014-04-01,0.07986111111111112
EGY,2014-07-01,0.5281432748538012
EGY,2014-10-01,0.0
EGY,2015-01-01,0.0
EGY,2015-04-01,0.004751461988304093
EGY,2015-07-01,0.7487207602339181
EGY,2015-10-01,0.0
EGY,2016-01-01,0.0
EGY,2016-04-01,0.25529970760233917
EGY,2016-07-01,0.5290570175438597
EGY,2016-10-01,0.0
EGY,2017-01-01,0.0
EGY,2017-04-01,0.2235014619883041
EGY,2017-07-01,0.5217470760233919
EGY,2017-10-01,0.0
EGY,2018-01-01,0.0
EGY,2018-04-01,0.2997076023391813
EGY,2018-07-01,0.5705409356725146
EGY,2018-10-01,0.0
EGY,2019-01-01,0.0
EGY,2019-04-01,0.25054824561403505
EGY,2019-07-01,0.5211988304093568
EGY,2019-10-01,0.0
EGY,2020-01-01,0.0
EGY,2020-04-01,0.14016812865497078
EGY,2020-07-01,0.658077485380117
EGY,2020-10-01,0.0
EGY,2021-01-01,0.0
EGY,2021-04-01,0.06578947368421052
EGY,2021-07-01,0.5275950292397661
EGY,2021-10-01,0.0
EGY,2022-01-01,0.0
EGY,2022-04-01,0.16831140350877194
EGY,2022-07-01,0.5308845029239766
EGY,2022-10-01,0.0
EGY,2023-01-01,0.0
EGY,2023-04-01,0.20559210526315788
EGY,2023-07-01,0.6403508771929824
EGY,2023-10-01,0.0
EGY,2024-01-01,0.0
EGY,2024-04-01,0.2576754385964912
EGY,2024-07-01,0.7108918128654972
EGY,2024-10-01,0.0
IDN,1981-01-01,5.9449497651744845e-05
IDN,1981-04-01,0.0014267879436418763
IDN,1981-07-01,0.0024968789013732834
IDN,1981-10-01,0.0022888056595921765
IDN,1982-01-01,0.0
IDN,1982-04-01,0.0009809167112537899
IDN,1982-07-01,0.006153023006955592
IDN,1982-10-01,0.02051007668985197
IDN,1983-01-01,0.03549135009809167
IDN,1983-04-01,0.022412460614707808
IDN,1983-07-01,0.005023482551572439
IDN,1983-10-01,0.003745318352059925
IDN,1984-01-01,0.0
IDN,1984-04-01,0.0
IDN,1984-07-01,2.9724748825872423e-05
IDN,1984-10-01,0.002467154152547411
IDN,1985-01-01,0.00011889899530348968
IDN,1985-04-01,0.00047559598121395876
IDN,1985-07-01,0.00026752273943285177
IDN,1985-10-01,0.0027346768919802628
IDN,1986-01-01,0.0
IDN,1986-04-01,0.0010403662089055346
IDN,1986-07-01,0.0032697223708459664
IDN,1986-10-01,0.004726235063313715
IDN,1987-01-01,5.9449497651744845e-05
IDN,1987-04-01,0.00992806610784139
IDN,1987-07-01,0.015367695142976041
IDN,1987-10-01,0.025057963260210453
IDN,1988-01-01,0.005261280542179419
IDN,1988-04-01,0.018607692764996134
IDN,1988-07-01,0.0016348611854229832
IDN,1988-10-01,0.004310088579751501
IDN,1989-01-01,0.0
IDN,1989-04-01,0.0003864217347363415
IDN,1989-07-01,0.0004161464835622139
IDN,1989-10-01,0.00576660127221925
IDN,1990-01-01,0.00026752273943285177
IDN,1990-04-01,0.004339813328577374
IDN,1990-07-01,0.0010998157065572796
IDN,1990-10-01,0.01263301825099578
IDN,1991-01-01,0.0013673384459901312
IDN,1991-04-01,0.0014267879436418761
IDN,1991-07-01,0.015546043635931275
IDN,1991-10-01,0.006925866476428274
IDN,1992-01-01,0.002259080910766304
IDN,1992-04-01,0.0012187147018607692
IDN,1992-07-01,2.9724748825872423e-05
IDN,1992-10-01,0.006153023006955592
IDN,1993-01-01,0.00026752273943285177
IDN,1993-04-01,0.0013673384459901314
IDN,1993-07-01,0.003834492598537542
IDN,1993-10-01,0.011414303549135009
IDN,1994-01-01,0.00017834849295523451
IDN,1994-04-01,8.917424647761727e-05
IDN,1994-07-01,0.016556685096010937
IDN,1994-10-01,0.02223411212175257
IDN,1995-01-01,0.0
IDN,1995-04-01,0.011741275786219606
IDN,1995-07-01,0.0026455026455026454
IDN,1995-10-01,0.005082932049224184
IDN,1996-01-01,0.000772843469472683
IDN,1996-04-01,0.011503477795612628
IDN,1996-07-01,0.0026455026455026454
IDN,1996-10-01,0.006153023006955592
IDN,1997-01-01,0.004102015337970394
