lat,lon,value
-30.0,18.0,0.20257852971553802
-30.0,19.0,-0.31829726696014404
-30.0,20.0,0.39487624168395996
-30.0,21.0,-0.24204304814338684
-30.0,22.0,-1.3967742919921875
-30.0,23.0,-1.9776519536972046
-30.0,24.0,-0.9110997915267944
-30.0,25.0,0.4000469744205475
-30.0,26.0,2.3175206184387207
-30.0,27.0,5.671787261962891
-30.0,28.0,9.91317081451416
-30.0,29.0,16.933530807495117
-30.0,30.0,28.961923599243164
-30.0,31.0,30.34734535217285
-29.0,-72.0,-1.5584770441055298
-29.0,-71.0,-0.24135637283325195
-29.0,-70.0,0.5580540299415588
-29.0,-57.0,-1.6124261617660522
-29.0,-56.0,-5.4605584144592285
-29.0,-55.0,-7.489011287689209
-29.0,-54.0,-9.029263496398926
-29.0,-53.0,-7.219297409057617
-29.0,-52.0,-8.83702278137207
-29.0,-51.0,-12.106337547302246
-29.0,-50.0,-9.850898742675781
-29.0,-49.0,-10.126058578491211
-29.0,16.0,0.2707785964012146
-29.0,17.0,0.11213976889848709
-29.0,18.0,-0.4246392846107483
-29.0,19.0,-0.14621281623840332
-29.0,20.0,0.03462531045079231
-29.0,21.0,-0.5089836120605469
-29.0,22.0,-1.0329835414886475
-29.0,23.0,-1.53718900680542
-29.0,24.0,-1.3964951038360596
-29.0,25.0,-1.586061954498291
-29.0,26.0,-0.2729600667953491
-29.0,27.0,3.167508125305176
-29.0,28.0,6.328127384185791
-29.0,29.0,10.015656471252441
-29.0,30.0,15.656980514526367
-29.0,31.0,21.44342613220215
-29.0,32.0,19.194917678833008
-28.0,-71.0,-1.2145957946777344
-28.0,-70.0,1.9263354539871216
-28.0,-69.0,-2.7326858043670654
-28.0,-56.0,-4.694631576538086
-28.0,-55.0,-6.043045997619629
-28.0,-54.0,-5.778285980224609
-28.0,-53.0,-5.862906455993652
-28.0,-52.0,-5.686407566070557
-28.0,-51.0,-5.798701286315918
-28.0,-50.0,-6.6858320236206055
-28.0,-49.0,-5.108270645141602
-28.0,-48.0,-3.9170281887054443
-28.0,17.0,-0.02307797782123089
-28.0,20.0,-0.5102813243865967
-28.0,21.0,-0.511151909828186
-28.0,22.0,-0.31166595220565796
-28.0,23.0,-0.5792392492294312
-28.0,24.0,-1.371665596961975
-28.0,25.0,-2.2024435997009277
