lat,lon,population
-31.0,-51.0,29854.30775620082
-31.0,-50.0,1471.7013441765903
-31.0,17.0,33.487062555033354
-31.0,18.0,10954.748583516064
-31.0,19.0,8008.711665361301
-31.0,20.0,9655.714439373873
-31.0,21.0,3710.4913259946024
-31.0,22.0,8377.635906860702
-31.0,23.0,13319.972666738087
-31.0,24.0,45132.1848047269
-31.0,25.0,50443.54423275239
-31.0,26.0,72956.77722566316
-31.0,27.0,173486.97214478976
-31.0,28.0,171019.8559982061
-31.0,29.0,927714.4942106716
-31.0,30.0,1251300.549641034
-31.0,31.0,54653.19012591991
-30.0,-72.0,2109.673055200415
-30.0,-71.0,562164.9907236265
-30.0,-70.0,3889.8054751890395
-30.0,-58.0,105464.3220396173
-30.0,-57.0,168232.06610101086
-30.0,-56.0,132818.78676036466
-30.0,-55.0,72684.26801881897
-30.0,-54.0,400403.5571860434
-30.0,-53.0,206260.29905746278
-30.0,-52.0,525984.1156162862
-30.0,-51.0,3993005.3734768294
-30.0,-50.0,344581.2147512544
-30.0,17.0,9640.197406246225
-30.0,18.0,56943.44709752004
-30.0,19.0,1251.336203469094
-30.0,20.0,3332.675764690426
-30.0,21.0,2175.9681442651026
-30.0,22.0,5293.456945219936
-30.0,23.0,19233.531798480326
-30.0,24.0,28931.49998169823
-30.0,25.0,30406.13436440246
-30.0,26.0,34787.331603923834
-30.0,27.0,420971.6349235104
-30.0,28.0,457868.96266275935
-30.0,29.0,368602.69396127126
-30.0,30.0,1590613.3101391352
-30.0,31.0,4882568.295954255
-29.0,-72.0,47.696015480222414
-29.0,-71.0,69327.1086534873
-29.0,-70.0,6758.910573802692
-29.0,-57.0,54361.86684248694
-29.0,-56.0,103658.42020037
-29.0,-55.0,92817.02106239891
-29.0,-54.0,120084.32883163201
-29.0,-53.0,197266.50998877053
-29.0,-52.0,692412.4634710834
-29.0,-51.0,961315.7825014542
-29.0,-50.0,278229.8614266781
-29.0,-49.0,573423.2483083769
-29.0,16.0,14443.269954171596
-29.0,17.0,12732.68737872315
-29.0,18.0,17558.689578193513
-29.0,19.0,7948.298301480762
-29.0,20.0,16634.141599498533
-29.0,21.0,86009.60998798194
-29.0,22.0,28487.522089889353
-29.0,23.0,16445.228863097615
-29.0,24.0,50487.104617540055
-29.0,25.0,343897.64854242565
-29.0,26.0,616731.0214356614
-29.0,27.0,476980.3679573764
-29.0,28.0,1303616.4163215095
-29.0,29.0,646994.9532559235
-29.0,30.0,825573.0099740345
-29.0,31.0,1153353.9235191038
-29.0,32.0,794758.5404009209
-28.0,-71.0,13043.020407017322
-28.0,-70.0,7819.00355739213
-28.0,-69.0,423.4108039940494
-28.0,-56.0,117978.2583208885
-28.0,-55.0,269478.93390222103
-28.0,-54.0,481394.1836183362
-28.0,-53.0,294258.3267540782
-28.0,-52.0,600528.6545895049
-28.0,-51.0,80522.72835707184
-28.0,-50.0,269685.9980081162
-28.0,-49.0,1497172.1467085972
-28.0,-48.0,101406.23400976011
-28.0,17.0,16956.10671552395
-28.0,20.0,6322.943866100846
-28.0,21.0,96862.31480803287
-28.0,22.0,10333.57621556941
-28.0,23.0,67022.64594208717
-28.0,24.0,58672.359625066376
-28.0,25.0,322489.8211504869
-28.0,26.0,128628.97097972824
-28.0,27.0,589974.0353293478
-28.0,28.0,217802.32965951893
-28.0,29.0,151630.608736276
-28.0,30.0,993340.3730938623
-28.0,31.0,696952.7963487189
-28.0,32.0,776612.5059841687
-28.0,33.0,14367.41075668662
-27.0,-109.0,8815.777980744922
-27.0,-71.0,23483.021004511465
-27.0,-70.0,179725.14425487668
-27.0,-69.0,497.5072020367649
-27.0,-68.0,2270.781074974141
